430,1-6-Dibromo-1-6-Dideoxy-D-Mannitol,"{1-6-dibromo-1-6-dideoxy-d-mannitol,mitobronitol}",{656655},{CHEMBL447629},{CHEBI:34853},{C13522},{D02020}
431,Clodronic Acid Sodium,"{dichloromethylenediphosphonic acid sodium,clodronate disodium}","{31195,23724874,73554303,25419,92043568,9838967,9863899}","{CHEMBL1520188,CHEMBL12318}","{CHEBI:59586,CHEBI:59587,CHEBI:110423}",{},{D07720}
432,Phenytoin Sodium,"{5,5-diphenylhydantoin sodium,phenytoin}","{657302,9795547,23679632}",{CHEMBL1611},{},{C07443},{}
433,Doxepin Hydrochloride,"{doxepin,doxepin hydrochloride,doxepin}",{6419921},{CHEMBL1200462},{CHEBI:4711},{C06971},{D00814}
434,Diethylstilbestrol,{diethylstilbestrol},{448537},{CHEMBL411},"{CHEBI:41922,CHEBI:92795}",{C07620},{D00577}
435,Chlorquinaldol,{chlorquinaldol},{6301},{CHEMBL224325},{CHEBI:74500},{},{D07208}
436,Levonordefrin,{levonordefrin},{164739},{CHEMBL677},"{CHEBI:10304,CHEBI:141146}",{C11768},{D02388}
437,Dehydroisoandrosterone 3-Sulfate Sodium,{dehydroisoandrosterone 3-sulfate sodium},{23668320},{CHEMBL1573900},{CHEBI:91028},{},{}
438,Dichloroacetic Acid,{dichloroacetic acid},{6597},{CHEMBL13960},{CHEBI:36386},{},{}
439,Digoxin,{digoxin},{2724385},{CHEMBL1751},{CHEBI:4551},{C06956},{D00298}
440,Disopyramide Phosphate,{disopyramide phosphate},{30928},{CHEMBL1201020},{CHEBI:4658},{C07740},{D00637}
441,Chloroxine,{chloroxine},{2722},{CHEMBL1200596},{CHEBI:59477},{},{D03472}
442,Pentetic Acid,{diethylenetriaminepentaacetic acid},{3053},{CHEMBL780},{CHEBI:35739},{},{}
443,Diclofenac Sodium,{diclofenac sodium},{5018304},{CHEMBL1034},{CHEBI:4509},{},{D00904}
444,Halazone,{halazone},{3552},{CHEMBL1368146},{},{},{D02446}
445,"3,4-Diaminopyridine","{3,4-diaminopyridine}",{5918},{CHEMBL354077},{CHEBI:135948},{},{}
446,Dihydrostreptomycin Sesquisulfate,{dihydrostreptomycin sesquisulfate},"{21653,6419912}","{CHEMBL3188576,CHEMBL4303534}",{},{},{}
447,Demecolcine,{demecolcine},{220401},{CHEMBL312862},{CHEBI:4393},{C11250},{}
448,Disopyramide,{disopyramide},{3114},{CHEMBL517},{CHEBI:4657},{C06965},{D00303}
449,Dimercaptosuccinic acid,"{meso-2,3-dimercaptosuccinic acid,dimercaptosuccinic acid}",{2724354},{CHEMBL1201073},{CHEBI:63623},{C07598},{D00572}
450,Dicyclomine Hydrochloride,"{dicyclomine,dicyclomine hydrochloride,dicyclomine}",{441344},{CHEMBL1200479},{CHEBI:4515},{C06951},"{D00717,D07820}"
451,4-Dimethylaminoantipyrine,"{4-dimethylaminoantipyrine,aminopyrine}",{6009},{CHEMBL288470},{CHEBI:160246},{C07539},{D00556}
452,Danazol,{danazol},{28417},{CHEMBL1479},{CHEBI:4315},{C06938},{D00289}
453,Diperodon Hydrochloride,"{diperodon,diperodon hydrochloride,diperodon}",{10830},{CHEMBL1456312},{},{},{}
454,Diethylcarbamazine Citrate,{diethylcarbamazine citrate},{15432},{CHEMBL937},{CHEBI:4528},{},{D00803}
455,Dipyrone,{dipyrone},{522325},{CHEMBL487894},{CHEBI:59033},{C13229},{D08190}
456,Diazoxide,{diazoxide},{3019},"{CHEMBL181,CHEMBL1518123}",{CHEBI:4495},{C06949},{D00294}
457,Dantrolene Sodium,{dantrolene sodium},"{6604100,5702224,13271066,32731,9568637,16219293,23707296,6604728,5353563,71563341,131954767,136675526}","{CHEMBL928,CHEMBL1375090,CHEMBL1725283}","{CHEBI:4318,CHEBI:4318,CHEBI:184644}",{C07933},{D02274}
458,Dexamethasone,{dexamethasone},{5743},{CHEMBL384467},{CHEBI:41879},{C15643},{D00292}
459,Deferoxamine Mesylate,{deferoxamine mesylate},{62881},{CHEMBL1234},{CHEBI:31460},{},{D01186}
460,"L-3,4-Dihydroxyphenylalanine","{l-3,4-dihydroxyphenylalanine,levodopa}",{6047},{CHEMBL1009},{CHEBI:15765},{C00355},{D00059}
461,_Dextromethorphan Hydrobromide,"{_dextromethorphan,dextromethorphan hydrobromide,dextromethorphan}",{5464025},{CHEMBL1201004},{},{C06947},{}
462,Dipyridamole,{dipyridamole},{3108},{CHEMBL932},{CHEBI:4653},{},{D00302}
463,Doxazosin Mesylate,{doxazosin mesylate},{62978},{CHEMBL1200561},{CHEBI:4709},{},{D00608}
464,"N,N-Diethylnicotinamide","{n,n-diethylnicotinamide,nikethamide}",{5497},{CHEMBL2104607},{CHEBI:134814},{},{D07408}
465,Doxycycline Hyclate,{doxycycline hyclate},"{54686183,54671203,54705095,54686898,54685920,57514051,54729367,57515985}","{CHEMBL3989740,CHEMBL1433,CHEMBL436921,CHEMBL1200567,CHEMBL1256723}","{CHEBI:50845,CHEBI:652992,CHEBI:34730}",{},{D02129}
466,Ethamivan,{ethamivan},{9363},{CHEMBL1229908},{CHEBI:92675},{},{D04080}
467,Ethisterone,{ethisterone},{5284557},{CHEMBL241694},{CHEBI:34749},{C14487},{}
468,Ergocornine,{ergocornine},{73453},{CHEMBL1385840},{CHEBI:4820},{C09162},{}
469,Etoposide,{etoposide},{36462},{CHEMBL44657},{CHEBI:4911},{C01576},{D00125}
470,Benzocaine,"{ethyl p-aminobenzoate,benzocaine}",{2337},{CHEMBL278172},{CHEBI:116735},{C07527},{D00552}
471,beta-Estradiol 17-Valerate,{b-estradiol 17-valerate},{13791},{CHEMBL1511},{CHEBI:31561},{},{}
472,Evans Blue,{evans blue},"{9409,517296,3315,4282864,101102794,135436520}","{CHEMBL1200712,CHEMBL1015,CHEMBL1607905}","{CHEBI:82467,CHEBI:87634,CHEBI:87636}",{C19422},{}
473,Emetine Dihydrochloride Hydrate,"{emetine,emetine dihydrochloride hydrate,emetine}","{201899,3068143,10219,21127119}","{CHEMBL493439,CHEMBL50588,CHEMBL1255782}","{CHEBI:146000,CHEBI:149551,CHEBI:4781}",{C09421},{D03985}
474,"2-Ethyl-1,3-Hexanediol","{2-ethyl-1,3-hexanediol}",{7211},{CHEMBL1451179},{CHEBI:34273},{C14271},{}
475,Edrophonium Chloride,{edrophonium chloride},{8307},{CHEMBL1128},{CHEBI:4759},{},{D00994}
476,Enoxacin,{enoxacin},{3229},{CHEMBL826},{CHEBI:157175},{C06979},{D00310}
477,(-)-Epinephrine (+)Bitartrate,{(-)-epinephrine (+)bitartrate},{5815},{CHEMBL1200818},{},{},{}
478,2-Ethoxybenzamide,"{2-ethoxybenzamide,ethenzamide}",{3282},{CHEMBL1483877},{CHEBI:31564},{},{D01466}
479,Ethambutol Dihydrochloride,"{ethambutol,ethambutol dihydrochloride,ethambutol}","{14051,16051971,46878363,46911976}","{CHEMBL3140361,CHEMBL1628240}","{CHEBI:4878,CHEBI:4878}",{C06984},{D00878}
480,Econazole Nitrate,{econazole nitrate},{68589},{CHEMBL1201049},{},{C08069},{D00881}
481,(+/-)-Epinephrine Hydrochloride,"{epinephrine,(+-)-epinephrine hydrochloride,epinephrine}",{5924},{CHEMBL1255663},{},{},{D05689}
482,Ethacrynic Acid,{ethacrynic acid},{3278},{CHEMBL456},{CHEBI:4876},{},{D00313}
483,17alpha-Ethynylestradiol,{17a-ethynylestradiol},{5991},{CHEMBL691},{CHEBI:4903},{},{}
484,Eugenol,{eugenol},{3314},{CHEMBL42710},{CHEBI:4917},{C10453},{D04117}
485,Ergocalciferol,{ergocalciferol},{5280793},{CHEMBL1536},{CHEBI:28934},{C05441},{D00187}
486,Ethionamide,{ethionamide},{2761171},{CHEMBL1441},{CHEBI:4885},{C07665},{D00591}
487,Erythromycin,{erythromycin},{12560},{CHEMBL532},{CHEBI:42355},{C01912},{D00140}
488,Ergonovine Maleate,{ergonovine maleate},{6437065},{CHEMBL1213135},{CHEBI:31554},{},{D01163}
489,Ethylenediaminetetraacetic Acid Tetrasodium Salt Dihydrate,"{ethylenediaminetetraacetic acid tetrasodium,ethylenediaminetetraacetic acid tetrasodium salt dihydrate,ethylenediaminetetraacetic acid tetrasodium,edta}",{21917311},{},{},{C00284},{D00052}
490,Enalapril Maleate,{enalapril maleate},{5388961},{CHEMBL1200659},{CHEBI:4785},{},{D00621}
491,Ethosuximide,{ethosuximide},{3291},{CHEMBL696},{CHEBI:4887},{C07505},{D00539}
492,Ethynodiol Diacetate,{ethynodiol diacetate},{9270},{CHEMBL1200624},{CHEBI:31580},{C12724},{D01294}
493,Esomeprazole Magnesium Dihydrate,"{esomeprazole magnesium,esomeprazole magnesium dihydrate,esomeprazole magnesium}","{17747012,53486367,86278387,21087493}",{},{},{},{D11114}
494,Esmolol Hydrochloride,"{esmolol,esmolol hydrochloride,esmolol}",{104769},{CHEMBL1201115},{CHEBI:4857},{C06980},{D00644}
495,Esculin Hydrate,"{esculin,esculin hydrate,esculin}","{16211025,5281417}","{CHEMBL1718108,CHEMBL482581}","{CHEBI:73111,CHEBI:4853}",{C09264},{D04697}
496,Eserine,"{eserine,physostigmine}",{5983},"{CHEMBL94,CHEMBL537674}",{CHEBI:27953},{C06535},{D00196}
497,beta-Estradiol 3-Benzoate,{b-estradiol 3-benzoate},{222757},{CHEMBL282575},{CHEBI:77006},{},{}
498,beta-Estradiol,{b-estradiol},{5757},{CHEMBL135},{CHEBI:16469},{},{}
499,Estrone,{estrone},{5870},{CHEMBL1405},{CHEBI:17263},{C00468},{D00067}
500,Fusidic Acid Sodium,{fusidic acid sodium},"{23672955,23695850,44134727,137703526}",{CHEMBL1256987},{},{},{}
501,Fenoterol Hydrobromide,"{fenoterol,fenoterol hydrobromide,fenoterol}",{5702161},{CHEMBL537445},{CHEBI:31601},{},{D01428}
502,Finasteride,{finasteride},{57363},{CHEMBL710},{CHEBI:5062},{},{D00321}
503,Fenoprofen Calcium Hydrate,"{fenoprofen calcium,fenoprofen calcium hydrate,fenoprofen calcium}",{64747},{CHEMBL2103736},{CHEBI:5005},{C02539},{D00968}
504,Furosemide,{furosemide},{3440},{CHEMBL35},{CHEBI:47426},{C07017},{D00331}
505,Fluphenazine Dihydrochloride,"{fluphenazine,fluphenazine dihydrochloride,fluphenazine}",{67356},{CHEMBL1448187},{CHEBI:5126},{C07010},{D00791}
506,Flunisolide,{flunisolide},{82153},{CHEMBL1512},{CHEBI:5106},{C07005},{}
507,Ferrous Fumarate,{ferrous fumarate},"{6433164,5478817,45052495,66524104}",{},{CHEBI:31607},{},{D01194}
508,Fenofibrate,{fenofibrate},{3339},{CHEMBL672},{CHEBI:5001},{C07586},{D00565}
509,Fludrocortisone Acetate,{fludrocortisone acetate},{225609},{CHEMBL1201010},{CHEBI:5102},{C08186},{D00986}
510,Fenspiride Hydrochloride,"{fenspiride,fenspiride hydrochloride,fenspiride}",{68626},{CHEMBL1256849},{},{},{D04163}
511,Fluorescein Sodium,{fluorescein sodium},{10608},{CHEMBL1628233},{},{},{D02024}
512,Fusaric Acid,{fusaric acid},{3442},{CHEMBL24510},{CHEBI:5199},{C10146},{}
513,5-Fluorouracil,{5-fluorouracil},{3385},{CHEMBL185},{CHEBI:46345},{C07649},{}
514,Famotidine,{famotidine},"{5702160,3325,5353622}","{CHEMBL902,CHEMBL902}",{CHEBI:4975},{},{D00318}
515,Folic Acid,{folic acid},{135398658},{CHEMBL1622},{CHEBI:27470},{C00504},{D00070}
516,Flunarizine Dihydrochloride,"{flunarizine,flunarizine dihydrochloride,flunarizine}",{5282407},{CHEMBL552659},{CHEBI:31621},{},{D01303}
517,Flurbiprofen,{flurbiprofen},{3394},{CHEMBL563},{CHEBI:5130},{C07013},{D00330}
518,Fenbufen,{fenbufen},{3335},{CHEMBL277522},{CHEBI:31599},{},{D01344}
519,Fluocinolone Acetonide,{fluocinolone acetonide},{6215},{CHEMBL989},{CHEBI:31623},{},{D01825}
520,Fluconazole,{fluconazole},{3365},{CHEMBL106},{CHEBI:46081},{C07002},{D00322}
521,Flufenamic Acid,{flufenamic acid},{3371},{CHEMBL23588},{CHEBI:42638},{C13038},{D01581}
522,Furaltadone Hydrochloride,"{furaltadone,furaltadone hydrochloride,furaltadone}","{9576185,92968,6436924}","{CHEMBL538843,CHEMBL1488871}",{},{},{}
523,Fluorometholone,{fluorometholone},{9878},{CHEMBL1200600},{CHEBI:31625},{},{D01367}
524,Flutamide,{flutamide},{3397},{CHEMBL806},{CHEBI:5132},{C07653},{D00586}
525,Furazolidone,{furazolidone},"{5323714,3435,5353636}","{CHEMBL1103,CHEMBL1374738,CHEMBL1572167}","{CHEBI:5195,CHEBI:5195,CHEBI:5195}",{C07999},{D00830}
526,Glybenclamide,{glybenclamide},{3488},{CHEMBL472},{CHEBI:5441},{},{}
527,D-Glutamic Acid,{d-glutamic acid},{23327},{CHEMBL76232},"{CHEBI:15966,CHEBI:53375}",{C00217},{}
528,Guanfacine,{guanfacine},{3519},{CHEMBL862},{CHEBI:5558},{C07037},{D08031}
529,Guanabenz Acetate,{guanabenz acetate},"{5702062,5702063}","{CHEMBL1200560,CHEMBL420}","{CHEBI:5554,CHEBI:5553,CHEBI:92998}",{},{D00605}
530,Guanidineacetic Acid,"{guanidineacetic acid,glycocyamine}",{763},{CHEMBL281593},{CHEBI:16344},{C00581},{}
531,Glipizide,{glipizide},{3478},{CHEMBL1073},{CHEBI:5384},{},{D00335}
532,3-Glycidoxypropyltrimethoxysilane,{3-glycidoxypropyltrimethoxysilane},{17317},{CHEMBL2140162},{},{},{}
533,Galanthamine Hydrobromide,"{galanthamine,galanthamine hydrobromide,galanthamine}",{121587},{CHEMBL1555},{},{C08526},{}
534,beta-Glutamic Acid,{beta-glutamic acid},{73064},{},{CHEBI:28791},{},{}
535,L-Glutamic Acid Hydrochloride,"{l-glutamic acid,l-glutamic acid hydrochloride,l-glutamic acid}",{2723891},{CHEMBL1255943},{},{C00025},{}
536,Gluconolactone,{gluconolactone},{7027},{CHEMBL1200829},{CHEBI:16217},{C00198},{D04332}
537,Gliclazide,{gliclazide},{3475},{CHEMBL427216},{CHEBI:31654},{},{D01599}
538,Glimepiride,{glimepiride},{3476},"{CHEMBL1481,CHEMBL149223}","{CHEBI:5383,CHEBI:92609}",{C07669},{D00593}
539,Granisetron Hydrochloride,"{granisetron,granisetron hydrochloride,granisetron}","{6918003,65264}","{CHEMBL1900758,CHEMBL1237080}",{CHEBI:5538},{C07023},{D00677}
540,L-Glutathione,{l-glutathione},{124886},{CHEMBL1543},"{CHEBI:16856,CHEBI:60836}",{},{}
541,Griseofulvin,{griseofulvin},{441140},{CHEMBL562},{CHEBI:27779},{C06686},{D00209}
542,Guaiacol,{guaiacol},{460},{CHEMBL13766},{CHEBI:28591},"{C01502,C15572}",{D00117}
543,Guaiacol Glyceryl Ether,"{guaiacol glyceryl ether,guaifenesin}",{3516},{CHEMBL980},{CHEBI:5551},{},{D00337}
544,_L-Glutathione,{_l-glutathione},{124886},{CHEMBL1543},"{CHEBI:16856,CHEBI:60836}",{},{}
545,Glycerophosphate Calcium,{glycerophosphate calcium},{16219432},{},{},{},{}
546,Methocarbamol,"{guaiacol glyceryl ether carbamate,methocarbamol}",{4107},{CHEMBL1201117},{CHEBI:77498},{},{D00402}
547,Sodium Glycocholate Hydrate,"{sodium glycocholate,sodium glycocholate hydrate,sodium glycocholate}","{23702132,23704497,23687715}",{CHEMBL1514342},{},{},{}
548,Gallic Acid,{gallic acid},{370},{CHEMBL288114},{CHEBI:30778},{C01424},{}
549,Gallamine Triethiodide,{gallamine triethiodide},{6172},{CHEMBL1200993},{},{},{D02292}
550,D-Glutamine,{d-glutamine},{145815},{CHEMBL1232207},{CHEBI:17061},{C00819},{}
551,D-Gluconic Acid Hemimagnesium,"{d-gluconic acid hemimagnesium,magnesium gluconate}","{11418570,71307072,71587201}","{CHEMBL2107145,CHEMBL3989640}",{},{},{}
552,Gemfibrozil,{gemfibrozil},{3463},{CHEMBL457},{CHEBI:5296},{C07020},{D00334}
553,Hexetidine,{hexetidine},{3607},{CHEMBL144673},{CHEBI:94339},{},{D07068}
554,Haloperidol,{haloperidol},{3559},{CHEMBL54},{CHEBI:5613},{C01814},{D00136}
555,Hydralazine Hydrochloride,"{hydralazine,hydralazine hydrochloride,hydralazine}",{9351},{CHEMBL542541},{CHEBI:31672},{C07040},{D01302}
556,Hexamethonium Chloride,{hexamethonium chloride},{93550},{CHEMBL105608},{},{},{}
557,4-Hydroxydiphenylmethane,"{4-hydroxydiphenylmethane,4-benzylphenol}",{7563},{CHEMBL611613},{},{},{}
558,2-Hydroxy-4-Methoxybenzophenone,"{2-hydroxy-4-methoxybenzophenone,oxybenzone}",{4632},{CHEMBL1625},{CHEBI:34283},{C14285},{D05309}
559,D-Histidine,{d-histidine},{71083},{CHEMBL104875},{CHEBI:27947},{C06419},{}
560,Hesperetin,{hesperetin},{72281},{CHEMBL399121},{CHEBI:28230},{C01709},{}
561,Hydrocortisone 21-Acetate,{hydrocortisone 21-acetate},{5744},{CHEMBL1091},{CHEBI:17609},{C02821},{}
562,Hydrochlorothiazide,{hydrochlorothiazide},{3639},{CHEMBL435},{CHEBI:5778},{C07041},{D00340}
563,Hesperidin Methyl Chalcone,{hesperidin methyl chalcone},{6436550},{},{},{},{}
564,Hesperidin,{hesperidin},"{10621,3594,5701999,6419939,16394497,45358131,53477767,44143719,45933922,86579284,91927750,129010007}","{CHEMBL449317,CHEMBL1535112,CHEMBL1574000,CHEMBL2140112,CHEMBL4483798}","{CHEBI:28775,CHEBI:95114}",{C09755},{D01038}
565,Hematoporphyrin,{hematoporphyrin},{11103},"{CHEMBL317840,CHEMBL403729}",{CHEBI:36162},{},{}
566,4'-Hydroxypropiophenone,{4'-hydroxypropiophenone},{6271},{CHEMBL312311},{CHEBI:32352},{},{}
567,Zinc pyrithione,"{1-hydroxypyridine-2-thione zinc,zinc pyrithione}","{56836326,26041}",{},{},{C13427},{}
568,Hexamethylenetetramine,{hexamethylenetetramine},{4101},{CHEMBL1201270},{CHEBI:6824},{},{}
569,Etidronic Acid,{etidronic acid},{3305},{CHEMBL871},{CHEBI:4907},{C07736},{D02373}
570,Histamine Dihydrochloride,"{histamine,histamine dihydrochloride,histamine}",{5818},{CHEMBL1533310},{},{C00388},{D04444}
571,Hexestrol,{hexestrol},"{3606,192197,234907,6432746}","{CHEMBL6615,CHEMBL9225,CHEMBL1795406}",{CHEBI:31669},{C13101},{D01641}
572,Hydroxocobalamin Acetate,{hydroxocobalamin acetate},"{71308682,45357615,60196309,70689311,91663261,91972123,76172939,126456285}",{},{},{},{}
573,L-Histidine Monohydrochloride,"{l-histidine,l-histidine monohydrochloride,l-histidine}","{517335,14259267}",{},{},{C00135},{D02072}
574,Dopamine Hydrochloride,"{3-hydroxytyramine,3-hydroxytyramine hcl,3-hydroxytyramine,dopamine}",{65340},{CHEMBL1557},{CHEBI:4698},{C03758},{D00633}
575,Hydroxyurea,{hydroxyurea},{3657},{CHEMBL467},{CHEBI:44423},{C07044},{D00341}
576,Hydroxyzine Dihydrochloride,"{hydroxyzine,hydroxyzine dihydrochloride,hydroxyzine}",{91513},{CHEMBL3186993},{CHEBI:5819},{C07045},{D00672}
577,Hydroquinone,{hydroquinone},{785},{CHEMBL537},{CHEBI:17594},"{C00530,C15603}",{D00073}
578,beta-Hydroxyethyltheophylline,"{b-hydroxyethyltheophylline,etofylline}",{1892},{CHEMBL699},{CHEBI:94764},{},{D07933}
579,Hydroxyzine Pamoate,{hydroxyzine pamoate},{25096},{CHEMBL1200467},{},{},{D01096}
580,"Hemin, Bovine","{hemin,hemin,bovine,hemin,chlorohemin}",{455658},{},{},{C06767},{}
581,Hexadecyltrimethylammonium Bromide,"{hexadecyltrimethylammonium bromide,cetrimonium bromide}",{5974},{CHEMBL307346},{CHEBI:3567},{C11275},{D03454}
582,Iodipamide,{iodipamide},{3739},{CHEMBL1165268},{CHEBI:31176},{},{D01774}
583,Isoxsuprine Hydrochloride,"{isoxsuprine,isoxsuprine hydrochloride,isoxsuprine}",{11368},{CHEMBL559180},{CHEBI:31735},{},{D01748}
584,Imipramine Hydrochloride,"{imipramine,imipramine hydrochloride,imipramine}",{8228},{CHEMBL1692},{CHEBI:5882},"{C07982,C07049}",{D00815}
585,Imexon,{imexon},{68791},{CHEMBL146428},{},{},{D08932}
586,Ipratropium Bromide,{ipratropium bromide},"{657308,31098,5702073,11553369,124080907}","{CHEMBL1464005,CHEMBL1237108,CHEMBL1201053}",{CHEBI:46659},{},{}
587,Indapamide,{indapamide},{3702},{CHEMBL406},{CHEBI:5893},{},{D00345}
588,Inulin From Chicory Root,"{inulin,inulin from chicory root,inulin}",{24763},{CHEMBL1201646},{CHEBI:15443},{C03323},{D00171}
589,Isoniazid,{isoniazid},{3767},{CHEMBL64},{CHEBI:6030},{C07054},{D00346}
590,Isoetharine Mesylate,{isoetharine mesylate},{23702},{CHEMBL1201153},{},{},{D04626}
591,Ibuprofen,"{ibuprofen,(+/-)ibuprofen,ibuprofen}",{3672},{CHEMBL521},{CHEBI:5855},{C01588},{D00126}
592,Myo-Inositol,{myo-inositol},{892},"{CHEMBL278373,CHEMBL468154,CHEMBL1222251,CHEMBL1231671,CHEMBL1950780,CHEMBL3976780}","{CHEBI:17268,CHEBI:10642,CHEBI:23927,CHEBI:27372,CHEBI:27987,CHEBI:22357,CHEBI:23311,CHEBI:24848,CHEBI:25492,CHEBI:27374}",{C00137},{}
593,Imidazole,{imidazole},{795},{CHEMBL540},{CHEBI:16069},{C01589},{}
594,(Plus-Minus)-Isoproterenol Hydrochloride,"{isoproterenol,(plus-minus)-isoproterenol hydrochloride,isoproterenol,isoprenaline}",{3779},{CHEMBL434},{CHEBI:64317},{C07056},{D08090}
595,(-)-Isoproterenol Hydrochloride,"{(-)-isoproterenol,(-)-isoproterenol hydrochloride,(-)-isoproterenol,isoprenaline,isoproterenol}","{656783,443372}","{CHEMBL1256360,CHEMBL1160723}",{CHEBI:6257},"{C07056,C11703}",{D02150}
596,Itraconazole,{itraconazole},"{55283,3793,6917738,14179013,45039617,14179008}","{CHEMBL22587,CHEMBL64391,CHEMBL1835950,CHEMBL1835951}","{CHEBI:6076,CHEBI:94366}",{},{D00350}
597,Indomethacin,{indomethacin},{3715},{CHEMBL6},{CHEBI:49662},{C01926},{D00141}
598,_Imipramine Hydrochloride,"{_imipramine,imipramine hydrochloride,imipramine}",{8228},{CHEMBL1692},{CHEBI:5882},"{C07982,C07049}",{D00815}
599,2-Iodobenzoic Acid,{2-iodobenzoic acid},{6941},{CHEMBL112424},{CHEBI:287979},{},{}
600,Isopropamide Iodide,{isopropamide iodide},{6284},{CHEMBL1200347},{CHEBI:6044},{},{D01005}
601,Ivermectin,{ivermectin},"{6321424,11957587,6419971,71308642,71749648,45114068,6427057,146159550,3085416,57182275,122172888,124870718,124870720,134687046,135391144}","{CHEMBL263291,CHEMBL1876587,CHEMBL1699565}","{CHEBI:63941,CHEBI:94551,CHEBI:91732}",{},{}
602,Ketorolac Tromethamine,{ketorolac tromethamine},{84003},{CHEMBL1201124},{CHEBI:6130},{},{D00813}
603,Ketoprofen,{ketoprofen},{3825},{CHEMBL571},{CHEBI:6128},{C01716},{D00132}
604,Ketotifen Fumarate,{ketotifen fumarate},{5282408},{CHEMBL1633},{},{},{D01332}
605,Labetalol Hydrochloride,"{labetalol,labetalol hydrochloride,labetalol}",{71412},{CHEMBL1200323},{CHEBI:6344},{C07063},{D00600}
606,Loxapine Succinate,{loxapine succinate},{71399},{CHEMBL1201155},{CHEBI:6549},{},{D00794}
607,Levallorphan Tartrate,{levallorphan tartrate},"{5464111,11957609,16051988}","{CHEMBL1598018,CHEMBL2062276}",{},{},{}
608,Lanatoside C,{lanatoside c},{656630},{CHEMBL506569},{},{C13470},{}
609,Lomefloxacin Hydrochloride,"{lomefloxacin,lomefloxacin hydrochloride,lomefloxacin}",{68624},{CHEMBL1728},{CHEBI:6518},"{C08053,C07078}",{D00873}
610,Calcium Lactobionate,{calcium lactobionate},"{11170166,16211544,11954336,71311567}",{CHEMBL2106121},{},{},{}
611,Lithium Chloride,{lithium chloride},{433294},{CHEMBL69710},{CHEBI:48607},{},{}
612,Loperamide Hydrochloride,"{loperamide,loperamide hydrochloride,loperamide}",{71420},{CHEMBL1707},{CHEBI:6533},{C07080},{D00729}
613,Leflunomide,{leflunomide},{3899},{CHEMBL960},{CHEBI:6402},{C07905},{D00749}
614,Lidocaine Hydrochloride,"{lidocaine,lidocaine hydrochloride,lidocaine}",{6314},{CHEMBL541521},{CHEBI:50512},{C07073},{D02086}
615,Lomustine,{lomustine},{3950},{CHEMBL514},{CHEBI:6520},{C07079},{D00363}
616,Lactulose ,{lactulose},"{11333,3872,11024312,16217605,16760534,131839611}","{CHEMBL296306,CHEMBL58143,CHEMBL1515464}",{CHEBI:6359},{C07064},{D00352}
617,D-Lysine,{d-lysine},{57449},{CHEMBL319497},{CHEBI:16855},{C00739},{}
618,Lansoprazole,{lansoprazole},{3883},{CHEMBL480},{CHEBI:6375},{},{D00355}
619,Levamisole Hydrochloride,"{(-)-tetramisole,(-)-tetramisole hydrochloride,(-)-tetramisole,levamisole}","{27944,26879}","{CHEMBL1770,CHEMBL1454}","{CHEBI:6433,CHEBI:6432}","{C07070,C07906}","{D00750,D08114}"
620,Selegiline,"{r(-)-deprenyl,r(-)-deprenyl hcl,r(-)-deprenyl,selegiline}",{45357581},{},{},{C07245},{}
621,Proglumide Sodium Salt,"{proglumide sodium,proglumide sodium salt,proglumide sodium}",{23677833},{CHEMBL1345380},{},{},{}
622,Mirtazapine,{mirtazapine},{4205},{CHEMBL654},{CHEBI:6950},{C07570},{D00563}
623,Megestrol Acetate,{megestrol acetate},{11683},{CHEMBL1201139},{CHEBI:6723},{C08151},{D00952}
624,Metoclopramide Monohydrochloride,"{metoclopramide,metoclopramide monohydrochloride,metoclopramide}",{23659},{CHEMBL1256771},{},{C07868},{}
625,Moexipril Hydrochloride,"{moexipril,moexipril hydrochloride,moexipril}",{54889},{CHEMBL1200534},{CHEBI:6961},{C07704},{D00623}
626,Naproxen Sodium,{naproxen sodium},{23681059},{CHEMBL1200806},{CHEBI:7477},{},{D00970}
627,Meclocycline Sulfosalicylate,{meclocycline sulfosalicylate},{54676538},{CHEMBL261772},{},{},{}
628,Dicumarol,{dicumarol},{54676038},"{CHEMBL1466,CHEMBL43154}",{CHEBI:4513},{C00796},{D03798}
629,Methoxyphenamine Hydrochloride,"{methoxyphenamine,methoxyphenamine hydrochloride,methoxyphenamine}",{9859211},{CHEMBL1985928},{CHEBI:31830},{},{D01635}
630,Capsaicin,{capsaicin},{1548943},{CHEMBL294199},"{CHEBI:3374,CHEBI:94524}",{C06866},{D00250}
631,Mevinolin,"{mevinolin,lovastatin}",{53232},{CHEMBL503},{CHEBI:40303},{C07074},{D00359}
632,Mefloquine Hydrochloride,"{mefloquine,mefloquine hydrochloride,mefloquine}","{65329,18660697,441362}","{CHEMBL1606,CHEMBL535650}",{CHEBI:6719},{C07633},{D00831}
633,Metaproterenol Hemisulfate,"{metaproterenol hemisulfate,orciprenaline}",{441333},{CHEMBL1568057},{},{C07144},{D00685}
634,Mebendazole,{mebendazole},{4030},{CHEMBL685},{CHEBI:6704},{},{D00368}
635,Mianserin Hydrochloride,"{mianserin,mianserin hydrochloride,mianserin}",{68551},{CHEMBL544428},{CHEBI:31843},{},{D01358}
636,Magnesium Acetate,{magnesium acetate},{8896},{CHEMBL1200691},{CHEBI:62964},{},{}
637,Mexiletine Hydrochloride,"{mexiletine,mexiletine hydrochloride,mexiletine}",{21467},{CHEMBL1200606},{CHEBI:6917},{C07220},{D00639}
